rep,timestamp,service,slo_f,state,last_iteration_length
1,2026-05-05 19:39:46.158235,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 80.0, 'avg_p_latency': 26.076923076923077, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 1.0}",-1
1,2026-05-05 19:39:46.162254,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.3076923076923077, 'avg_p_latency': 303.3076923076923, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.06153846153846154}",-1
1,2026-05-05 19:39:46.165937,elastic-workbench-pc-visualizer-1,0.9479166666666666,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 1.0}",-1
1,2026-05-05 19:39:56.161283,elastic-workbench-qr-detector-1,0.7206374166666666,"{'throughput': 80.0, 'avg_p_latency': 6.384615384615385, 'data_quality': 204.0, 'cores': 5.54, 'completion_rate': 1.0}",22
1,2026-05-05 19:39:56.168592,elastic-workbench-cv-analyzer-1,0.8447498139880952,"{'throughput': 5.0, 'avg_p_latency': 41.61538461538461, 'data_quality': 174.0, 'cores': 7.92, 'model_size': 1.0, 'completion_rate': 1.0}",22
1,2026-05-05 19:39:56.171333,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 51.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",22
1,2026-05-05 19:40:06.166590,elastic-workbench-qr-detector-1,0.7206374166666666,"{'throughput': 80.0, 'avg_p_latency': 5.6923076923076925, 'data_quality': 204.0, 'cores': 5.54, 'completion_rate': 1.0}",28
1,2026-05-05 19:40:06.173407,elastic-workbench-cv-analyzer-1,0.8447498139880952,"{'throughput': 5.0, 'avg_p_latency': 40.46153846153846, 'data_quality': 174.0, 'cores': 7.92, 'model_size': 1.0, 'completion_rate': 1.0}",28
1,2026-05-05 19:40:06.175954,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 51.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",28
1,2026-05-05 19:40:16.162490,elastic-workbench-qr-detector-1,0.7206374166666666,"{'throughput': 80.0, 'avg_p_latency': 6.846153846153846, 'data_quality': 204.0, 'cores': 5.54, 'completion_rate': 1.0}",34
1,2026-05-05 19:40:16.166209,elastic-workbench-cv-analyzer-1,0.8447498139880952,"{'throughput': 5.0, 'avg_p_latency': 38.84615384615385, 'data_quality': 174.0, 'cores': 7.92, 'model_size': 1.0, 'completion_rate': 1.0}",34
